Products,aws_eng_name,aws_chn_name,eng_description,chn_description,
,AWS Elastic Beanstalk,,"An easy-to-use service for deploying and scaling web applications and services developed with Java, .NET, PHP, Node.js, Python, Ruby, Go, and Docker on familiar servers such as Apache, Nginx, Passenger, and IIS
Simply upload your code and Elastic Beanstalk automatically handles the deployment, from capacity provisioning, load balancing, auto-scaling to application health monitoring.",运行并管理 Web 应用,
,AWS Lambda,,"Lets you run code without provisioning or managing servers
You can run code for virtually any type of application or backend service – all with zero administration.
Upload your code and Lambda takes care of everything required to run and scale your code with high availability.",无需考虑服务器即可运行代码,
,AWS Outposts,哨所,"Brings native AWS services, infrastructure, and operating models to virtually any data center, co-location space, or on-premises facility.
You can use the same APIs, same tools, same hardware, and same functionality across on-premises and the cloud to deliver a truly consistent hybrid experience.
Outposts can be used to support workloads that need to remain on-premises due to low latency or local data processing needs.
",运行本地 AWS 基础设施,
,AWS Serverless Application Repository,无服务器应用程序仓库,"A managed repository for serverless applications.
It enables teams, organizations, and individual developers to store and share reusable applications, and easily assemble and deploy serverless architectures in powerful new ways.
You can use pre-built applications from the Serverless Application Repository in your serverless architectures, helping you and your teams reduce duplicated work, ensure organizational best practices, and get to market faster.",发现、部署和发布无服务器应用程序,
,AWS Snow ,“雪”系列,,聚合处理一系列物理设备和边缘站点中的数据，然后将其传输到 AWS,
,AWS Wavelength,,,为 5G 设备交付超低延迟应用程序,
,VMware Cloud on AWS,,,无需自定义硬件即可构建混合云,
,,,,,
Containers/容器,Amazon Elastic Container Registry,弹性容器注册表,,存储、管理和部署容器映像,
,Amazon Elastic Container Service (ECS),弹性容器服务,,高度安全、可靠且可扩展的容器运行方式,
,Amazon ECS Anywhere,随处见弹性容器服务,,（即将推出）您基础设施上的 ECS,
,Amazon Elastic Kubernetes Service (EKS),弹性kubernetes服务,,最值得信赖的运行 Kubernetes 的方式,
,Amazon EKS Anywhere,随处见弹性kubernetes服务,,（即将推出）您基础设施上的 Kubernetes,
,Amazon EKS Distro运行一致的 Kubernetes 集群,,,,
,AWS App2Container将现有应用程序容器化并迁移现有应用程序,,,,
,AWS Copilot轻松部署和运行容器化应用程序,,,,
,AWS Fargate适用于容器的无服务器计算,,,,
,AWS 上的 Red Hat OpenShift 服务托管型 Red Hat OpenShift 集群,,,,
,,,,,
Contact Center/客户参与,Amazon Connect基于云端的联络中心服务,,,,
,Amazon Pinpoint各渠道间的个性化用户参与度,,,,
,Amazon Simple Email Service (SES)电子邮件发送和接收,,,,
,,,,,
Database/数据库,Amazon Aurora,极光,,高性能托管型关系数据库,
,Amazon Aurora Serverless V2,极光无服务器版,,极光进阶版 即时扩展到每秒超过 100000 项事务,
,Amazon DocumentDB,文档数据库,,（兼容 MongoDB）完全托管型文档数据库,
,Amazon DynamoDB,迪纳摩数据库,,托管型 NoSQL 数据库,
,Amazon ElastiCache,弹性缓存,,内存中缓存服务,
,Amazon Keyspaces (for Apache Cassandra),,,托管型 Cassandra 兼容数据库,
,Amazon Neptune,海王星数据库,,完全托管型图数据库服务,
,Amazon Quantum Ledger Database (QLDB),分类账数据库,,完全托管型分类账数据库,
,Amazon RDS,关系型数据库,,适用于 MySQL、PostgreSQL、Oracle、SQL Server 和 MariaDB 的托管型关系数据库服务,
,Amazon RDS on VMware自动化本地数据库管理,,,,
,Amazon Redshift,红移数据库,,便捷、简易且经济高效的数据仓库,
,Amazon Timestream完全托管型时间序列数据库,,,,
,AWS Database Migration Service以最短的停机时间迁移数据库,,,,
,AWS Glue简单、可扩展的无服务器数据集成,,,,
,,,,,
Developer Tools/开发人员工具,Amazon CodeGuru查找最昂贵的代码行,,,,
,Amazon CorrettoOpenJDK 的生产就绪型发行版,,,,
,AWS Cloud Development Kit (CDK)使用代码对云基础设施建模,,,,
,AWS Cloud9在云 IDE 中编写、运行和调试代码,,,,
,AWS CloudShell基于浏览器的 Shell 环境,,,,
,AWS CodeArtifact面向软件开发的安全、可扩展且经济实惠的构件管理,,,,
,AWS CodeBuild生成和测试代码,,,,
,AWS CodeCommit在私有 Git 存储库中存储代码,,,,
,AWS CodeDeploy自动部署代码,,,,
,AWS CodePipeline使用持续交付发布软件,,,,
,AWS CodeStar开发和部署 AWS 应用程序,,,,
,AWS 命令行界面用于管理 AWS 服务的统一工具,,,,
,AWS Device Farm使用真实设备，在 AWS 云中测试 Android、iOS 和 Web 应用程序,,,,
,AWS Fault Injection Simulator（即将推出）完全托管的混沌工程服务,,,,
,AWS 工具和开发工具包适用于 AWS 的工具和开发工具包,,,,
,AWS X-Ray分析和调试应用程序,,,,
,,,,,
End User Computing/终端用户计算,Amazon WorkSpaces云端虚拟桌面,,,,
,Amazon AppStream 2.0将桌面应用程序安全地流式传输至浏览器,,,,
,Amazon WorkLink支持移动访问内部网站,,,,
,,,,,
Front-End Web & Mobile/前端 Web 和移动应用程序,AWS Amplify构建和部署移动和 Web 应用程序,,,,
,Amazon API Gateway构建、部署和管理 API,,,,
,Amazon Location Service（预览版）安全且轻松地向应用程序添加位置数据,,,,
,Amazon Pinpoint各渠道间的个性化用户参与度,,,,
,AWS AppSync使用多个来源的恰当数据，为您的应用程序提供大规模支持,,,,
,AWS Device Farm使用真实设备，在 AWS 云中测试 Android、iOS 和 Web 应用程序,,,,
,,,,,
Game Tech/游戏技术,Amazon GameLift简单、快速且经济高效的专用游戏服务器托管服务,,,,
,Amazon Lumberyard一种免费的跨平台 3D 游戏引擎，与 AWS 和 Twitch 集成，提供完整源代码,,,,
,,,,,
Internet of Things/物联网,AWS IoT 1-Click一键创建 AWS Lambda 触发器,,,,
,AWS IoT AnalyticsIoT 设备分析,,,,
,AWS IoT Button可在云端编程的 Dash Button,,,,
,AWS IoT Core将设备连接到云,,,,
,AWS IoT Device DefenderIoT 设备的安全管理,,,,
,Amazon IoT Device Management登记、组织和远程管理 IoT 设备,,,,
,Amazon IoT EduKit了解如何构建简单的 IoT 应用程序,,,,
,AWS IoT EventsIoT 事件检测和响应,,,,
,AWS IoT Greengrass本地计算、消息收发和设备同步,,,,
,AWS IoT SiteWiseIoT 数据收集器和解释器,,,,
